"ID","DATA","ID_KLIENT","ID_PLATNOSC"
1,18/08/20,18,26
2,13/08/14,49,21
3,11/11/13,45,14
4,11/02/10,45,10
5,12/01/07,21,31
6,10/01/23,37,10
7,10/06/29,7,17
8,20/11/17,19,7
9,20/03/04,43,29
10,13/07/20,24,28
11,18/02/12,7,6
12,17/09/05,3,32
13,13/05/09,8,9
14,12/05/21,8,15
15,19/10/27,46,31
16,19/07/24,42,24
17,19/11/25,19,14
18,10/02/21,23,7
19,20/07/17,37,19
20,10/05/22,50,30
21,11/05/20,38,27
22,19/03/21,11,11
23,13/01/18,23,6
24,17/12/07,16,23
25,15/08/19,30,9
26,15/05/15,31,11
27,13/07/19,26,12
28,16/11/15,26,15
29,19/06/29,38,29
30,20/10/08,8,1
31,11/08/04,37,33
32,10/01/22,44,27
33,17/12/07,21,5
34,13/07/21,29,31
35,10/07/29,4,11
36,16/03/23,47,30
37,20/05/09,19,11
38,16/09/30,32,4
39,16/02/03,11,17
40,13/02/26,7,21
41,16/01/07,26,2
42,16/01/04,34,19
43,10/11/09,32,18
44,20/09/27,4,18
45,10/11/22,16,7
46,16/02/15,13,29
47,12/10/10,17,28
48,11/09/17,8,14
49,20/04/02,49,12
50,12/09/09,41,11
51,12/07/02,45,31
52,14/06/26,13,11
53,16/05/01,44,18
54,13/09/30,18,14
55,20/05/10,4,25
56,18/07/19,14,30
57,11/09/04,30,3
58,16/10/20,29,31
59,10/05/01,31,23
60,10/10/17,7,23
61,10/08/20,36,1
62,18/04/06,38,21
63,11/01/05,31,30
64,18/01/01,30,1
65,14/12/20,33,5
66,15/08/28,7,1
67,12/08/01,36,5
68,15/05/22,35,1
69,18/10/01,34,13
70,17/01/17,9,23
71,15/11/22,33,4
72,16/09/14,16,24
73,11/12/02,38,28
74,19/06/10,1,10
75,20/02/01,49,22
76,14/08/23,49,25
77,16/03/23,46,30
78,19/09/10,28,17
79,18/02/09,41,32
80,16/12/25,4,30
81,18/04/21,35,17
82,13/09/18,46,1
83,14/06/26,5,25
84,19/03/07,15,3
85,11/12/21,49,24
86,10/05/06,2,25
87,16/12/08,28,28
88,19/04/08,49,12
89,17/12/24,50,33
90,13/03/04,5,17
91,10/06/15,32,28
92,15/10/19,23,23
93,20/07/09,47,16
94,16/08/01,20,33
95,12/12/10,31,14
96,18/05/04,4,12
97,15/04/19,4,31
98,15/02/01,29,13
99,15/11/16,4,13
100,18/02/04,33,12
101,10/08/30,8,17
102,11/02/23,49,12
103,14/06/24,47,30
104,16/01/18,50,27
105,15/05/11,48,27
106,11/05/30,21,6
107,13/07/14,8,26
108,12/10/03,33,32
109,10/04/09,42,1
110,20/04/18,39,4
111,10/12/10,43,27
112,15/05/27,6,17
113,15/09/20,26,32
114,19/11/17,28,29
115,12/09/05,24,15
116,10/04/26,43,27
117,14/10/08,1,29
118,11/10/29,37,24
119,15/12/10,15,25
120,13/11/11,6,33
121,19/11/15,1,23
122,19/01/17,25,14
123,17/04/21,10,17
124,19/07/07,29,28
125,18/05/06,25,24
126,17/04/20,17,16
127,20/11/08,27,13
128,15/08/08,39,25
129,10/12/19,16,20
130,20/02/29,40,33
131,20/02/25,1,18
132,12/12/11,36,5
