"ID","DATA_PRODUKCJI","CENA","KOSZT","ID_ZAMOWIENIE","ID_PRODUCENT","ID_ODDZIAL","ID_INSTRUMENT"
1,02/02/24,1130,1030,32,2,9,10
2,01/03/15,220,200,349,33,24,64
3,03/03/05,460,420,354,6,3,38
4,03/07/18,1830,1670,320,17,19,63
5,00/10/18,1010,920,115,48,20,14
6,06/04/08,1990,1810,351,3,45,45
7,08/05/19,2170,1980,229,10,40,70
8,09/01/24,460,420,333,7,42,17
9,04/11/25,1270,1160,124,47,30,20
10,01/09/27,550,500,333,19,16,44
11,04/03/04,2150,1960,9,17,50,19
12,02/05/25,1490,1360,353,32,38,40
13,08/12/25,310,290,304,49,49,36
14,06/01/08,1560,1420,395,22,22,71
15,03/03/05,690,630,50,15,13,43
16,03/11/12,2070,1890,62,34,42,32
17,07/07/15,1350,1230,195,44,29,33
18,09/05/24,2240,2040,365,36,49,61
19,06/11/09,590,540,340,4,49,35
20,09/02/15,940,860,169,28,28,29
21,08/01/11,50,50,297,3,14,17
22,03/12/15,470,430,167,29,25,30
23,05/07/17,480,440,67,15,39,28
24,07/03/14,1560,1420,327,17,48,67
25,04/01/04,310,290,213,31,25,43
26,00/03/24,1450,1320,284,6,39,35
27,09/01/09,80,80,291,37,9,28
28,02/09/10,1890,1720,58,9,19,18
29,02/12/03,20,20,285,40,20,67
30,02/06/20,1170,1070,66,27,21,54
31,10/10/24,1100,1000,215,10,15,13
32,01/09/27,1440,1310,279,48,15,22
33,08/10/03,340,310,276,38,25,29
34,08/09/14,180,170,123,41,9,60
35,01/09/22,2210,2010,357,15,29,57
36,00/07/24,2040,1860,354,7,48,47
37,09/10/21,1620,1480,221,48,23,65
38,04/07/03,600,550,28,22,19,17
39,07/08/08,1050,960,223,18,23,2
40,03/07/05,2260,2060,222,3,11,69
41,02/05/08,1760,1600,45,32,2,59
42,10/05/07,1840,1680,58,32,8,33
43,02/08/22,1980,1800,330,37,15,74
44,10/08/03,670,610,321,10,24,33
45,04/07/09,2250,2050,41,44,36,35
46,03/06/20,360,330,375,20,26,24
47,08/09/15,740,680,235,39,7,31
48,05/07/06,900,820,382,48,9,1
49,10/03/12,1810,1650,3,45,13,13
50,00/04/01,1790,1630,104,36,37,59
51,04/02/20,2280,2080,308,20,40,76
52,06/03/13,2130,1940,152,20,39,42
53,03/02/04,380,350,192,42,40,38
54,09/04/28,1820,1660,321,21,2,76
55,10/04/20,450,410,10,21,31,68
56,06/05/05,1160,1060,276,32,38,52
57,07/04/01,460,420,196,47,2,60
58,09/01/01,1900,1730,150,38,43,32
59,08/02/12,260,240,273,26,37,73
60,04/05/09,30,30,119,2,48,24
61,03/08/28,80,80,19,44,2,28
62,00/05/17,930,850,250,41,26,55
63,05/09/11,1180,1080,29,23,47,42
64,09/11/18,840,770,259,5,44,48
65,06/07/21,2060,1880,17,44,48,46
66,06/01/16,510,470,211,22,10,50
67,07/01/26,2020,1840,33,23,46,2
68,09/02/27,1590,1450,141,12,13,65
69,06/01/07,510,470,369,39,23,3
70,05/08/01,130,120,308,27,31,63
71,01/10/08,1980,1800,259,41,21,47
72,03/06/25,740,680,121,7,4,16
73,01/05/18,2110,1920,137,32,50,49
74,09/07/08,1730,1580,400,49,35,24
75,05/03/02,1240,1130,166,27,19,64
76,06/09/15,620,570,283,42,10,3
77,08/12/27,1120,1020,12,7,37,1
78,03/10/10,1400,1280,381,3,7,27
79,09/09/15,30,30,189,49,23,37
80,08/01/02,1550,1410,103,47,32,72
81,09/02/22,190,180,301,20,38,76
82,07/08/11,50,50,205,9,45,38
83,02/03/24,2110,1920,78,38,47,14
84,02/11/10,2060,1880,129,1,41,21
85,04/10/22,1600,1460,209,12,16,32
86,04/06/06,2040,1860,229,23,45,31
87,09/06/01,2110,1920,219,4,31,35
88,07/06/02,670,610,316,15,6,24
89,02/09/12,380,350,141,50,32,42
90,03/04/16,1800,1640,281,20,47,64
91,00/10/13,1790,1630,89,18,42,16
92,01/11/10,270,250,110,35,19,63
93,02/11/23,850,780,163,20,1,7
94,02/02/04,270,250,45,28,22,55
95,00/06/12,880,800,172,4,6,13
96,01/06/03,930,850,297,47,44,68
97,09/07/12,1250,1140,40,2,44,65
98,03/07/03,1710,1560,309,7,16,66
99,08/07/03,1990,1810,264,34,34,30
100,08/06/25,1580,1440,259,2,7,22
101,09/02/10,2200,2000,112,9,36,38
102,10/11/12,1360,1240,245,30,23,20
103,10/09/14,1300,1190,353,29,50,27
104,01/04/27,1160,1060,190,4,20,68
105,09/11/26,220,200,271,45,42,28
106,02/04/16,1540,1400,353,22,22,16
107,09/11/04,1520,1390,363,22,30,52
108,07/12/25,1230,1120,303,5,28,36
109,10/08/27,1440,1310,104,32,28,45
110,05/04/15,1000,910,316,39,45,68
111,08/02/17,1910,1740,90,17,18,49
112,01/01/24,1850,1690,122,15,5,61
113,06/10/26,1490,1360,49,5,42,40
114,00/03/11,1390,1270,348,5,3,59
115,05/10/27,520,480,353,12,36,54
116,01/04/16,2170,1980,3,34,23,35
117,09/12/03,1230,1120,269,31,47,16
118,04/03/03,1570,1430,227,33,48,69
119,09/07/15,1930,1760,374,28,7,55
120,02/01/08,590,540,30,30,11,41
121,07/12/09,110,100,79,46,41,39
122,07/01/01,2050,1870,391,27,48,9
123,01/08/27,2150,1960,235,49,2,32
124,06/07/09,1020,930,63,42,43,45
125,05/07/20,2100,1910,157,42,11,48
126,03/04/25,140,130,106,48,29,1
127,07/05/03,2220,2020,214,49,31,1
128,04/07/18,280,260,394,38,10,26
129,02/09/05,2180,1990,89,14,31,10
130,10/06/04,2180,1990,145,17,5,72
131,02/03/22,2200,2000,233,3,48,35
132,01/09/12,910,830,354,50,30,56
133,00/09/24,1190,1090,152,28,13,19
134,07/04/06,1170,1070,64,29,7,10
135,09/06/13,1060,970,105,34,41,8
136,05/12/10,1540,1400,141,46,43,55
137,03/03/24,1910,1740,350,46,16,2
138,06/02/06,280,260,203,49,1,27
139,01/02/16,710,650,186,24,42,65
140,01/05/09,140,130,189,45,32,67
141,06/09/21,1270,1160,223,46,36,35
142,00/07/25,1470,1340,358,46,16,35
143,10/06/14,520,480,112,31,26,11
144,05/11/25,630,580,312,18,27,64
145,10/01/25,1850,1690,143,30,43,22
146,04/12/18,1820,1660,21,27,2,14
147,01/07/07,710,650,367,10,17,24
148,10/08/25,2000,1820,128,23,10,62
149,01/12/25,1290,1180,114,28,1,3
150,01/01/21,450,410,91,13,7,60
151,01/09/08,1850,1690,363,47,6,57
152,02/06/09,930,850,330,35,31,33
153,07/05/15,970,890,348,46,42,33
154,00/05/16,2070,1890,158,45,20,17
155,05/07/08,480,440,8,42,3,59
156,04/01/10,2240,2040,74,2,26,37
157,00/01/11,1920,1750,129,10,5,6
158,09/01/12,890,810,145,41,35,69
159,10/02/04,1950,1780,249,50,6,44
160,06/10/27,460,420,100,6,8,18
161,02/08/28,230,210,276,2,43,61
162,01/04/04,1920,1750,135,10,2,20
163,05/10/20,1410,1290,84,34,20,50
164,05/05/10,1910,1740,252,44,40,28
165,06/01/27,1900,1730,235,38,50,26
166,09/07/22,670,610,5,17,23,30
167,09/10/03,680,620,155,16,27,35
168,06/06/28,890,810,102,6,1,31
169,10/01/12,1070,980,56,42,34,9
170,08/02/18,1760,1600,192,29,1,44
171,09/07/14,40,40,68,40,3,53
172,03/08/07,90,90,389,37,43,52
173,02/08/17,590,540,176,21,41,67
174,03/09/05,1940,1770,314,46,24,68
175,02/12/08,1110,1010,81,43,44,35
176,09/04/07,1220,1110,159,2,46,69
177,03/06/01,270,250,72,19,47,18
178,01/11/10,1010,920,280,42,4,35
179,04/10/05,2100,1910,183,27,4,64
180,08/05/19,80,80,262,3,2,67
181,01/10/10,1470,1340,210,24,11,59
182,06/09/26,330,300,190,47,16,61
183,05/05/23,910,830,234,35,8,74
184,03/04/20,1980,1800,112,26,3,26
185,04/12/28,1820,1660,131,19,5,42
186,01/10/17,2040,1860,192,37,16,63
187,09/09/11,910,830,190,2,47,68
188,02/01/01,130,120,399,47,23,47
189,04/06/16,1960,1790,335,27,37,15
190,04/11/14,2160,1970,81,21,30,39
191,03/09/27,770,700,247,35,7,65
192,10/03/15,1930,1760,8,31,32,68
193,09/10/14,590,540,281,4,22,58
194,08/08/21,150,140,279,23,15,66
195,00/06/03,530,490,217,21,8,15
196,06/04/21,1110,1010,352,36,47,34
197,08/08/09,1430,1300,103,6,28,20
198,00/08/27,1140,1040,325,22,31,73
199,01/03/07,1010,920,279,33,46,33
200,02/09/24,200,190,105,22,8,38
201,02/01/21,1450,1320,44,27,27,39
202,09/05/24,120,110,254,50,12,26
203,04/05/13,1730,1580,359,38,33,3
204,06/09/23,2060,1880,135,33,5,58
205,08/09/15,2120,1930,283,18,26,64
206,05/04/23,1140,1040,375,9,17,71
207,04/12/12,1950,1780,267,27,42,37
208,01/10/11,950,870,176,45,15,72
209,08/12/03,1650,1500,314,42,46,28
210,07/08/28,1840,1680,133,22,38,54
211,04/04/14,820,750,345,29,10,2
212,04/09/11,920,840,263,2,40,46
213,05/01/20,840,770,187,43,24,1
214,07/03/05,1950,1780,378,25,15,13
215,04/04/23,1270,1160,3,4,26,28
216,01/01/08,190,180,256,1,30,54
217,06/09/03,1390,1270,19,39,38,53
218,01/01/11,1520,1390,219,39,22,70
219,00/08/08,2250,2050,158,25,50,30
220,03/11/02,1720,1570,110,4,28,14
221,08/04/27,30,30,214,17,33,62
222,07/12/05,1610,1470,236,29,22,71
223,07/10/13,950,870,94,30,3,44
224,08/03/04,690,630,7,1,4,36
225,08/01/17,850,780,393,33,15,22
226,05/06/16,30,30,113,23,49,6
227,06/08/21,110,100,279,15,40,6
228,05/04/06,640,590,333,35,28,27
229,03/05/12,1720,1570,45,27,25,51
230,01/04/15,1190,1090,398,17,17,5
231,10/03/08,1710,1560,237,3,41,24
232,07/03/06,90,90,133,4,19,50
233,10/08/13,350,320,297,23,49,71
234,04/01/16,1130,1030,375,3,25,11
235,01/02/27,1600,1460,276,47,48,66
236,02/04/17,2000,1820,100,4,33,67
237,03/09/15,370,340,320,27,31,12
238,06/02/11,1900,1730,207,10,19,75
239,09/02/10,1900,1730,96,15,2,68
240,03/06/09,480,440,44,5,34,65
241,09/05/27,260,240,86,13,8,72
242,00/07/13,2070,1890,156,2,48,63
243,06/11/24,2250,2050,277,5,43,23
244,03/10/26,170,160,290,29,43,55
245,03/07/13,1280,1170,206,14,6,9
246,03/11/17,370,340,160,4,46,38
247,01/04/26,1810,1650,342,36,49,37
248,00/12/19,250,230,74,40,30,3
249,06/04/08,1050,960,206,40,1,49
250,10/07/16,830,760,193,5,1,48
251,06/10/27,1800,1640,89,38,36,15
252,06/07/17,1440,1310,295,6,33,48
253,09/08/16,130,120,296,13,1,63
254,05/06/14,1210,1100,33,36,25,21
255,05/09/04,1850,1690,112,45,12,29
256,10/08/03,420,390,79,4,18,58
257,03/11/06,240,220,18,15,35,43
258,07/02/06,1680,1530,309,22,6,69
259,00/08/12,910,830,384,8,24,7
260,03/02/06,1120,1020,149,21,12,41
261,07/04/10,660,600,350,23,6,24
262,02/05/20,1000,910,113,8,35,23
263,08/08/28,710,650,381,44,19,22
264,07/11/17,1350,1230,236,26,23,61
265,03/04/19,1230,1120,129,34,27,32
266,08/07/05,510,470,233,20,38,5
267,02/01/11,120,110,59,9,46,72
268,04/01/25,490,450,346,46,9,2
269,04/10/05,480,440,127,38,42,62
270,09/10/25,2040,1860,353,30,50,62
271,04/06/26,190,180,190,15,31,18
272,01/08/17,1740,1590,305,18,7,4
273,03/11/14,1040,950,348,40,46,38
274,06/07/27,2210,2010,29,21,45,34
275,03/04/21,90,90,186,17,18,73
276,02/01/14,1250,1140,102,34,13,63
277,09/07/23,1240,1130,396,14,34,56
278,10/05/20,710,650,176,12,45,69
279,04/03/22,750,690,387,49,3,63
280,02/08/08,700,640,205,25,29,11
281,09/05/26,670,610,35,12,2,4
282,00/02/07,2010,1830,336,11,45,15
283,00/02/28,1280,1170,93,1,43,46
284,06/01/02,410,380,202,25,28,52
285,03/02/19,1010,920,388,11,26,34
286,01/07/21,1380,1260,351,42,17,17
287,04/06/17,690,630,139,38,39,76
288,10/03/16,820,750,353,38,50,42
289,08/02/09,2230,2030,229,3,46,74
290,04/12/17,1250,1140,323,3,23,45
291,03/02/25,2000,1820,147,43,38,3
292,05/03/19,890,810,374,23,35,61
293,06/09/17,1850,1690,248,37,26,72
294,10/04/20,390,360,78,47,19,32
295,05/07/06,1590,1450,295,32,34,25
296,02/04/23,620,570,269,34,4,13
297,10/02/11,220,200,131,47,7,56
298,00/08/13,50,50,261,29,2,50
299,00/01/09,640,590,365,19,21,40
300,00/08/07,560,510,170,32,39,18
301,02/09/17,2120,1930,344,19,5,26
302,09/07/13,2210,2010,93,45,8,31
303,06/12/28,1630,1490,71,43,3,18
304,06/12/16,1610,1470,384,5,42,69
305,03/04/22,500,460,396,26,49,14
306,05/10/11,1350,1230,248,27,9,31
307,10/03/07,120,110,10,4,45,61
308,10/03/09,150,140,261,3,35,48
309,07/01/04,120,110,99,17,5,4
310,04/05/28,670,610,363,36,48,11
311,09/03/01,0,0,90,35,39,8
312,07/11/15,2290,2090,27,24,29,68
313,05/08/03,410,380,353,2,37,40
314,04/12/04,500,460,297,2,27,29
315,08/11/15,470,430,379,15,25,30
316,00/09/01,1030,940,344,42,43,34
317,05/03/24,330,300,186,21,20,38
318,05/06/26,1910,1740,376,19,32,66
319,02/01/20,530,490,193,4,36,69
320,07/04/24,10,10,350,8,46,40
321,10/12/19,970,890,114,15,32,47
322,05/07/14,620,570,299,43,32,51
323,02/06/09,820,750,288,10,40,4
324,09/05/15,1760,1600,370,43,44,3
325,07/07/27,730,670,269,44,33,9
326,02/09/05,2150,1960,69,24,21,22
327,07/09/05,220,200,203,41,49,59
328,03/08/23,1710,1560,136,36,31,64
329,02/02/24,480,440,318,31,9,9
330,06/06/27,1150,1050,188,12,23,49
331,07/08/21,1030,940,312,38,46,1
332,08/09/19,110,100,212,7,43,5
333,07/03/16,350,320,379,34,13,52
334,08/07/23,220,200,226,41,29,6
335,10/04/16,900,820,10,37,7,64
336,04/11/24,240,220,170,13,43,68
337,00/06/28,2150,1960,70,17,45,16
338,04/11/18,2200,2000,365,31,37,39
339,04/12/19,530,490,164,16,38,55
340,02/02/17,220,200,125,5,28,11
341,00/04/10,850,780,293,7,29,74
342,06/11/27,550,500,143,28,39,58
343,03/05/06,1730,1580,59,18,48,70
344,01/12/23,1950,1780,99,6,31,52
345,03/05/02,780,710,10,13,10,7
346,08/11/27,300,280,45,48,47,65
347,00/11/04,300,280,51,12,41,13
348,10/03/18,1350,1230,47,33,6,61
349,02/01/03,1540,1400,314,21,26,13
350,05/06/05,940,860,43,21,24,54
351,05/05/05,1370,1250,113,33,45,52
352,02/04/25,2260,2060,388,17,37,56
353,08/11/18,1780,1620,25,39,25,14
354,10/01/06,50,50,13,46,4,11
355,00/05/02,550,500,231,46,10,55
356,02/10/12,120,110,312,37,42,36
357,06/04/10,810,740,283,38,16,4
358,04/04/09,2210,2010,71,17,21,27
359,05/08/07,1320,1200,265,5,36,10
360,07/02/12,1030,940,61,16,11,48
361,05/08/04,2090,1900,36,40,23,9
362,05/02/11,220,200,284,36,10,29
363,02/05/23,610,560,45,36,32,29
364,06/04/21,880,800,248,39,17,66
365,08/06/08,1350,1230,344,32,18,55
366,05/04/23,1840,1680,290,50,37,19
367,03/10/03,510,470,278,1,3,76
368,06/07/14,490,450,317,24,16,65
369,03/11/28,640,590,251,6,44,4
370,08/10/22,570,520,44,48,43,68
371,10/07/26,990,900,296,38,5,39
372,06/12/08,80,80,112,2,42,72
373,04/02/27,1730,1580,64,6,33,59
374,00/07/28,1560,1420,285,6,4,15
375,00/06/08,670,610,166,2,40,54
376,05/10/06,220,200,357,25,12,25
377,10/04/23,2150,1960,61,7,15,59
378,03/04/23,750,690,74,36,40,62
379,00/05/15,640,590,102,13,18,30
380,03/03/17,1960,1790,48,25,40,75
381,05/09/04,1460,1330,36,45,12,50
382,06/01/18,1050,960,296,27,47,48
383,09/12/28,290,270,362,2,8,1
384,07/05/08,190,180,229,33,19,54
385,06/09/15,1010,920,378,33,23,67
386,10/05/23,1840,1680,377,1,7,69
387,03/01/10,820,750,311,35,50,44
388,06/08/20,410,380,311,26,39,30
389,09/11/16,580,530,68,46,46,30
390,01/09/19,2230,2030,146,44,17,29
391,10/02/26,1490,1360,130,8,18,63
392,02/02/28,1650,1500,364,18,46,59
393,07/08/26,990,900,260,2,13,14
394,00/01/25,1140,1040,279,23,29,68
395,04/07/03,1560,1420,77,44,33,39
396,04/01/17,1810,1650,294,25,27,21
397,03/11/18,1660,1510,111,49,17,73
398,00/08/09,380,350,44,9,40,18
399,07/06/27,720,660,45,1,23,38
400,07/05/14,1580,1440,154,44,26,40
401,10/09/07,1700,1550,201,29,38,18
402,01/03/04,1430,1300,309,4,2,23
403,03/05/02,570,520,133,20,12,17
404,05/11/24,1500,1370,333,37,11,48
405,04/10/05,40,40,230,1,6,61
406,10/09/26,600,550,197,4,23,11
407,03/04/13,240,220,395,16,16,65
408,08/03/11,180,170,177,32,6,61
409,09/05/22,620,570,9,50,44,46
410,00/12/18,1890,1720,2,28,14,46
411,00/12/23,290,270,370,20,46,24
412,04/01/02,570,520,203,40,15,75
413,04/11/15,380,350,344,42,24,5
414,07/09/13,500,460,78,46,23,8
415,08/01/17,1940,1770,30,35,4,24
416,01/04/05,880,800,79,24,25,46
417,09/04/03,270,250,358,25,30,22
418,04/11/22,1990,1810,143,33,46,53
419,08/03/19,1000,910,162,12,44,75
420,07/01/25,2180,1990,97,46,5,62
421,07/04/07,1490,1360,86,15,49,13
422,03/08/18,2170,1980,263,19,35,53
423,05/09/16,1630,1490,228,41,29,59
424,08/03/10,2090,1900,229,10,22,19
425,10/06/06,1580,1440,285,39,11,6
426,06/09/28,1890,1720,187,34,3,12
427,03/12/21,50,50,230,2,33,62
428,04/11/15,1950,1780,254,31,2,13
429,09/10/02,1070,980,160,12,18,65
430,04/01/21,700,640,384,11,30,47
431,06/07/05,2170,1980,333,25,12,10
432,07/01/04,330,300,82,17,27,17
433,03/10/23,1400,1280,385,20,9,10
434,05/02/17,1880,1710,296,31,18,4
435,10/08/12,2020,1840,189,40,15,34
436,09/01/07,750,690,3,44,1,45
437,05/04/22,2240,2040,21,19,8,57
438,09/09/19,1900,1730,232,20,24,68
439,03/01/16,940,860,346,19,6,5
