"ID","NAZWA","ID_ADRES"
1,"Instrusy",151
2,"Instruish",152
3,"Instruarc",153
4,"Instrupad",154
5,"Instruoont",155
6,"Instrulance",156
7,"Instruster",157
8,"Instruooze",158
9,"Instruzilla",159
10,"Instruhut",160
11,"Instrudeck",161
12,"Instruopolis",162
13,"Instrulaza",163
14,"Instruscape",164
15,"Instruzoid",165
16,"Instruaza",166
17,"Instruoryx",167
18,"Instruorama",168
19,"Instrudo",169
20,"Instruya",170
21,"Instruopedia",171
22,"Instruella",172
23,"Instruology",173
24,"Instrubes",174
25,"Instrugenix",175
26,"Instrulada",176
27,"Instruporium",177
28,"Instruara",178
29,"Instruomatic",179
30,"Instruque",180
31,"Instruado",181
32,"Instruegy",182
33,"Instruistic",183
34,"Instruadri",184
35,"Instruiva",185
36,"Instruium",186
37,"Instruaholic",187
38,"Instruio",188
39,"Instrulia",189
40,"Instrulux",190
41,"Instruly",191
42,"Instrun",192
43,"Instruwind",193
44,"Instruadora",194
45,"Instruable",195
46,"Instrujet",196
47,"Instrubea",197
48,"Instruops",198
49,"Instruocity",199
50,"Instruprism",200
