"MAX(ID)","DATA_PRODUKCJI"
8808,04/03/04
4636,08/12/25
8714,08/01/11
8969,05/07/17
7306,00/07/24
7838,03/06/20
6513,08/09/15
9371,10/04/20
86,04/06/06
5521,08/07/03
7080,09/02/10
8404,05/10/27
780,01/04/16
9087,07/12/09
3738,05/07/20
9650,01/05/09
8549,01/07/07
9102,10/08/25
7031,02/06/09
9788,02/08/28
6330,05/10/20
8990,06/06/28
172,03/08/07
3461,09/04/07
6008,01/10/17
9859,02/01/01
7434,05/04/23
8172,06/08/21
6464,07/03/06
9674,03/11/17
7071,05/06/14
1953,07/02/06
9879,04/01/25
5587,02/04/23
3212,02/09/17
8318,04/12/04
9132,08/11/15
8564,02/01/20
9027,08/11/27
9695,00/11/04
8192,10/03/18
1073,05/06/05
6275,08/11/18
391,10/02/26
8344,01/03/04
8061,04/11/15
8462,05/09/16
7598,03/01/16
9981,06/08/06
9083,04/05/21
9343,09/11/12
1843,02/04/21
5898,08/02/11
5846,01/03/28
6920,10/02/08
7341,04/01/07
5803,07/03/03
8973,01/11/21
9149,06/11/13
5141,10/08/26
6866,03/09/16
7534,08/10/18
8941,01/08/02
9654,01/09/06
3230,08/01/20
9328,04/04/13
7216,08/04/23
6092,06/07/10
4354,02/06/18
4755,04/04/05
9493,02/05/24
6297,07/10/19
8792,10/07/22
5949,10/11/22
777,05/08/27
8047,05/02/02
3052,07/09/27
9313,09/05/14
6766,00/06/05
9567,04/07/16
4850,00/06/15
1155,07/03/22
940,09/07/06
5835,01/07/08
5301,04/07/06
9461,05/01/06
7153,08/06/10
3171,01/05/19
7356,02/01/07
2327,00/11/22
3179,10/03/28
4160,05/06/07
2232,06/09/18
3334,10/08/06
9307,09/12/11
9916,07/07/11
9350,03/12/17
9723,01/12/26
6909,01/04/17
4544,02/02/11
7655,03/03/19
1162,05/11/03
1176,00/06/07
8724,06/03/28
8834,08/12/01
8931,09/06/27
5646,06/06/04
7522,03/01/17
5759,02/02/07
9612,04/06/23
9745,01/07/17
8169,04/04/02
6908,09/11/07
7722,08/08/12
3680,03/04/11
8455,05/03/09
8007,00/06/04
7404,06/06/02
7781,03/01/19
1355,03/01/05
7749,00/04/22
7913,07/10/08
3434,08/03/08
7732,06/03/21
1431,03/05/25
9291,04/02/16
2945,10/07/24
9933,00/08/17
6059,10/06/26
8900,04/10/27
6871,10/02/01
9159,07/04/04
1610,09/10/26
1627,04/09/02
9882,10/03/14
9528,10/11/16
9011,03/08/05
9480,02/06/14
7465,02/01/05
8082,03/01/27
8749,05/03/13
8250,00/07/10
7283,09/03/24
7975,08/05/21
9216,00/02/22
7894,04/09/12
8320,02/11/24
1856,07/06/01
8356,10/01/11
6810,02/04/05
9250,06/08/25
7320,04/03/06
9104,01/09/15
9591,10/09/16
2010,08/08/18
6186,05/06/06
9437,06/12/06
8111,04/01/06
7917,01/02/22
5176,06/11/28
4543,08/07/14
8580,02/12/19
3575,02/02/06
9023,06/03/11
2235,05/08/10
5217,04/04/17
5501,02/12/11
6659,03/03/21
