"MAX(ID)","DATA"
1,18/08/20
22,19/03/21
34,13/07/21
35,10/07/29
37,20/05/09
40,13/02/26
44,20/09/27
45,10/11/22
51,12/07/02
55,20/05/10
58,16/10/20
62,18/04/06
75,20/02/01
88,19/04/08
94,16/08/01
95,12/12/10
107,13/07/14
131,20/02/25
133,11/10/30
139,16/11/22
177,10/03/14
178,18/07/25
182,13/12/24
188,11/07/26
191,18/08/13
193,14/09/27
203,14/02/27
204,10/08/06
210,19/05/26
214,16/04/23
229,12/10/11
234,16/10/25
248,12/09/07
267,11/02/21
269,15/09/03
283,15/09/25
284,13/06/15
289,17/07/02
306,12/06/22
329,16/06/17
333,16/10/05
334,11/05/08
347,14/02/19
348,20/02/14
354,13/01/09
356,18/07/09
359,14/12/03
360,13/10/04
362,14/04/05
374,11/06/30
390,13/02/03
399,12/03/04
14,12/05/21
21,11/05/20
23,13/01/18
26,15/05/15
42,16/01/04
50,12/09/09
83,14/06/26
71,15/11/22
81,18/04/21
84,19/03/07
86,10/05/06
99,15/11/16
100,18/02/04
102,11/02/23
115,12/09/05
122,19/01/17
125,18/05/06
130,20/02/29
132,12/12/11
161,15/12/27
142,20/09/26
145,19/01/28
147,20/11/24
149,20/10/11
152,12/12/05
168,11/08/21
176,17/06/30
181,19/09/05
185,19/06/24
187,13/02/05
195,12/06/24
209,11/11/02
228,20/08/17
238,13/04/08
246,20/10/14
251,16/05/27
255,13/05/29
259,18/12/16
263,12/10/12
270,18/09/22
273,15/01/15
278,17/06/21
293,17/05/19
299,16/06/20
302,17/11/12
305,20/04/29
311,11/08/28
323,16/11/01
336,12/09/20
370,14/04/09
373,12/02/08
380,20/09/01
386,14/05/04
2,13/08/14
4,11/02/10
7,10/06/29
28,16/11/15
31,11/08/04
60,10/10/17
63,11/01/05
66,15/08/28
70,17/01/17
78,19/09/10
91,10/06/15
93,20/07/09
104,16/01/18
121,19/11/15
126,17/04/20
128,15/08/08
138,10/02/02
143,20/05/29
153,18/09/07
154,17/07/21
157,15/02/25
166,12/02/11
167,19/10/02
172,14/10/12
175,15/09/09
364,10/01/08
186,18/02/10
199,17/07/06
200,13/12/12
217,16/06/08
224,11/03/20
250,16/05/04
261,10/03/05
264,10/02/07
271,16/03/21
291,15/11/05
294,20/04/15
298,20/12/06
307,17/12/06
313,16/02/21
317,19/09/24
320,18/09/20
324,14/09/03
327,15/05/26
349,15/04/13
363,13/05/22
351,12/07/10
358,12/01/02
369,11/03/04
376,11/01/22
387,12/12/23
396,20/04/25
400,13/03/05
8,20/11/17
12,17/09/05
16,19/07/24
20,10/05/22
33,17/12/07
30,20/10/08
49,20/04/02
61,10/08/20
64,18/01/01
73,11/12/02
79,18/02/09
87,16/12/08
101,10/08/30
112,15/05/27
113,15/09/20
129,10/12/19
136,18/08/19
151,11/03/08
159,10/03/24
162,19/04/13
169,17/10/13
180,10/08/24
211,19/05/11
216,13/05/07
221,11/12/05
222,10/08/04
242,20/02/21
249,14/06/04
253,16/05/06
258,20/06/24
260,20/05/06
266,17/02/19
276,14/03/12
285,11/09/09
286,18/02/06
292,20/04/20
297,14/05/24
301,15/05/04
303,18/02/20
310,19/12/06
316,18/11/14
321,11/08/02
322,10/06/17
325,12/11/03
330,10/01/26
331,14/04/24
377,12/10/26
379,19/04/12
382,18/09/27
383,14/09/25
392,10/07/25
393,18/03/24
9,20/03/04
256,19/11/25
19,20/07/17
32,10/01/22
38,16/09/30
41,16/01/07
56,18/07/19
57,11/09/04
59,10/05/01
68,15/05/22
92,15/10/19
96,18/05/04
98,15/02/01
110,20/04/18
116,10/04/26
117,14/10/08
127,20/11/08
144,14/11/08
160,10/09/02
189,16/03/05
205,18/07/08
215,20/06/22
218,17/01/09
219,16/01/06
237,14/03/02
239,20/06/13
241,13/01/29
252,10/01/14
274,10/02/25
272,13/11/18
287,14/04/30
288,11/02/18
295,12/09/11
308,18/11/05
314,12/03/20
318,20/08/08
335,20/01/12
338,18/01/06
342,10/12/21
343,15/10/30
344,14/03/07
355,18/01/26
365,13/05/05
366,15/05/05
371,13/01/22
372,15/09/16
378,13/06/24
389,11/02/01
395,11/08/06
5,12/01/07
6,10/01/23
27,13/07/19
43,10/11/09
48,11/09/17
54,13/09/30
65,14/12/20
67,12/08/01
76,14/08/23
80,16/12/25
82,13/09/18
97,15/04/19
106,11/05/30
118,11/10/29
119,15/12/10
123,17/04/21
140,13/07/29
155,17/03/26
163,11/08/13
227,11/02/14
184,20/11/18
206,10/09/23
208,20/10/10
225,14/09/04
244,14/12/25
230,12/03/27
231,10/06/25
232,19/05/23
257,18/10/10
277,17/02/06
281,19/04/23
282,20/06/15
296,11/03/25
300,16/11/24
312,20/12/19
337,20/12/23
346,15/08/17
367,15/10/25
368,14/12/02
384,16/07/29
385,10/11/23
398,15/02/22
10,13/07/20
13,13/05/09
18,10/02/21
25,15/08/19
47,12/10/10
53,16/05/01
69,18/10/01
85,11/12/21
90,13/03/04
103,14/06/24
105,15/05/11
114,19/11/17
120,13/11/11
134,17/10/29
135,10/03/30
150,17/02/14
158,19/02/10
164,19/07/13
165,10/10/20
171,10/01/05
173,15/09/04
183,20/07/11
197,11/09/08
201,20/06/04
220,10/02/15
243,15/10/28
236,17/05/14
245,12/03/22
254,13/04/17
262,17/12/22
268,10/05/30
280,18/08/24
290,12/05/24
309,14/11/19
315,15/02/09
326,19/05/29
339,12/03/23
353,13/09/07
357,11/10/02
388,11/08/18
3,11/11/13
11,18/02/12
15,19/10/27
29,19/06/29
233,16/03/23
39,16/02/03
46,16/02/15
72,16/09/14
74,19/06/10
89,17/12/24
108,12/10/03
109,10/04/09
148,10/12/10
124,19/07/07
137,14/11/16
146,16/06/14
156,11/08/26
174,16/06/04
190,16/12/26
192,16/03/15
194,18/03/05
196,18/09/03
202,14/01/22
207,12/12/14
212,18/08/15
213,14/11/15
235,10/09/22
240,10/12/27
247,10/01/07
275,12/05/29
279,18/08/25
304,20/03/03
319,14/01/18
328,10/08/22
332,14/09/12
340,15/02/16
341,10/12/26
345,20/11/11
352,18/10/13
361,11/12/14
375,10/01/24
391,19/08/07
394,20/09/16
397,20/05/20

385 rows selected. 

