"ID","ID_ODDZIAL","ID_PRACOWNIK","ID_KLIENT","ID_DATA_PRODUKCJI","ID_PRODUCENT","ID_DATA_SPRZEDAZY","MIASTO_KLIENTA","MIASTO_SPRZEDAZY","RODZAJ_INSTRUMENTU","PLATNOSC","NAZWA_INSTRUMENTU","NUMER_ZAMOWIENIA","CENA","KOSZT"
1,9,9,44,5782,2,32,"Włocławek","Gdańsk","Dawne smyczkowe","Plus Bank Przelew","Skrzypce Barokowe",32,1130,1030
2,24,24,41,7621,33,349,"Wrocław","Koszalin","Perkusyjne pytowe","Banek Pekao Blik","Talerze",349,220,200
3,3,3,47,7144,6,354,"Bydgoszcz","�?ódź","Uderzane","ING Bank Śląski Przelew","Fortepian",354,460,420
4,19,19,16,8888,17,320,"Bytom","Poznań","Perkusyjne pytowe","Bank Millenium Blik","Gong",320,1830,1670
5,20,20,24,4814,48,115,"Radom","Kraków","Elektryczne smyczkowe","BNP Parbias Przelew","Skrzypce Elektryczne",115,1010,920
6,45,45,10,9618,3,351,"Tychy","Częstochowa","Dęte blaszane","Santander BP Blik","Trąbka Sygnałowa",351,1990,1810
7,40,40,22,7936,10,229,"Gdańsk","Gliwice","Perkusyjne rurowe","Euro Bank Blik","Dzwony Rurowe",229,2170,1980
8,42,42,17,8212,7,333,"Rzeszów","Zielona Góra","Elektryczne smyczkowe","Citi Handlowy Przelew","Altówka Elektryczna",333,460,420
9,30,30,29,7378,47,124,"Toruń","Toruń","Strunowe Szarpane","Plus Bank Blik","Banjo",124,1270,1160
10,16,16,17,1019,19,333,"Rzeszów","Białystok","Dęte blaszane","Citi Handlowy Przelew","Trąbka",333,550,500
11,50,50,43,8808,17,9,"Kalisz","Rzeszów","Strunowe Szarpane","TMUB Przelew","Bandżola",9,2150,1960
12,38,38,31,9931,32,353,"�?ódź","Toruń","Uderzane","Credit Agricole Przelew","Keyboard ",353,1490,1360
13,49,49,24,4636,49,304,"Radom","Gdynia","Uderzane","mBank Blik","Cymbały",304,310,290
14,22,22,4,2952,22,395,"Wałbrzych","Koszalin","Perkusyjne prętowe","Banek Pekao Przelew","Trójkąt",395,1560,1420
15,13,13,41,7144,15,50,"Wrocław","Częstochowa","Dęte klawiszowe","Bank Millenium Przelew","Fisharmonia",50,690,630
16,42,42,38,6899,34,62,"Bydgoszcz","Zielona Góra","Strunowe Szarpane","Euro Bank Przelew","Mandolina",62,2070,1890
17,29,29,29,5004,44,195,"Toruń","Poznań","Strunowe Szarpane","Banek Pekao Przelew","Shamisen",195,1350,1230
18,49,49,36,9665,36,365,"Kalisz","Gdynia","Perkusyjne membranowe","TMUB Blik","Kotły ",365,2240,2040
19,49,49,44,9337,4,340,"Włocławek","Gdynia","Strunowe Szarpane","BOŚ Blik","Ukulele",340,590,540
20,28,28,36,8490,28,169,"Kalisz","Chorzów","Strunowe Szarpane","Bank pocztowy Przelew","Koto",169,940,860
21,14,14,44,8714,3,297,"Włocławek","Toruń","Elektryczne smyczkowe","TMUB Blik","Altówka Elektryczna",297,50,50
22,25,25,45,9862,29,167,"Poznań","Katowice","Strunowe Szarpane","mBank Blik","Lira",167,470,430
23,39,39,36,8969,15,67,"Kalisz","Katowice","Strunowe Szarpane","Banek Pekao Przelew","Kora",67,480,440
24,48,48,11,3452,17,327,"Szczecin","Lublin","Perkusyjne metalowe","Getin Noble Bank Blik","Dzwonki",327,1560,1420
25,25,25,36,9033,31,213,"Kalisz","Katowice","Dęte klawiszowe","Euro Bank Blik","Fisharmonia",213,310,290
26,39,39,17,7663,6,284,"Rzeszów","Katowice","Strunowe Szarpane","mBank Przelew","Ukulele",284,1450,1320
27,9,9,25,8634,37,291,"Lublin","Gdańsk","Strunowe Szarpane","BNP Parbias Przelew","Kora",291,80,80
28,19,19,29,7445,9,58,"Toruń","Poznań","Strunowe Szarpane","BOŚ Przelew","Bałałajka",58,1890,1720
29,20,20,34,8752,40,285,"Lublin","Kraków","Perkusyjne metalowe","Alior Bank Blik","Dzwonki",285,20,20
30,21,21,7,3662,27,66,"Szczecin","Bytom","Dęte drewniane","PKO BP Przelew","Flet Poprzeczny",66,1170,1070
31,15,15,27,7448,10,215,"Radom","Zielona Góra","Regionalne smyczkowe","BNP Parbias Blik","Basetla",215,1100,1000
32,15,15,6,1019,48,279,"Radom","Zielona Góra","Strunowe Szarpane","Credit Agricole Przelew","Gitara Klasyczna",279,1440,1310
33,25,25,29,5446,38,276,"Toruń","Katowice","Strunowe Szarpane","PKO BP Blik","Koto",276,340,310
34,9,9,10,8848,41,123,"Tychy","Gdańsk","Dęte drewniane","Credit Agricole Przelew","Saksofon",123,180,170
35,29,29,3,3994,15,357,"Wałbrzych","Poznań","Dęte drewniane","BNP Parbias Przelew","Klarnet",357,2210,2010
36,48,48,47,7306,7,354,"Bydgoszcz","Lublin","Dęte blaszane","ING Bank Śląski Przelew","Puzon",354,2040,1860
37,23,23,16,9799,48,221,"Bytom","Ruda Śląska","Perkusyjne sztabkowe drewniane","BOŚ Przelew","Ksylofon",221,1620,1480
38,19,19,26,9560,22,28,"Poznań","Poznań","Elektryczne smyczkowe","BNP Parbias Przelew","Altówka Elektryczna",28,600,550
39,23,23,35,999,18,243,"Elbląg","Ruda Śląska","Klasyczne smyczkowe","mBank Przelew","Altówka",223,1050,960
40,11,11,45,8452,3,222,"Poznań","Kalisz","Perkusyjne metalowe","Bank pocztowy Blik","Wibrafon",222,2260,2060
41,2,2,16,4566,32,45,"Bytom","Wałbrzych","Dęte drewniane","ING Bank Śląski Przelew","Kontrafagot",45,1760,1600
42,8,8,29,1945,32,58,"Toruń","Białystok","Strunowe Szarpane","BOŚ Przelew","Shamisen",58,1840,1680
43,15,15,50,5791,37,330,"Chorzów","Zielona Góra","Perkusyjne inne","Bank Millenium Przelew","Klekotka",330,1980,1800
44,24,24,32,8810,10,321,"Poznań","Koszalin","Strunowe Szarpane","Banek Pekao Przelew","Shamisen",321,670,610
45,36,36,26,8159,44,41,"Poznań","Białystok","Strunowe Szarpane","PKO BP Blik","Ukulele",41,2250,2050
46,26,26,38,7838,20,375,"Bydgoszcz","Gorzów Wielkopolski","Strunowe Szarpane","ING Bank Śląski Blik","Harfa",375,360,330
47,7,7,35,6513,39,235,"Elbląg","Zabrze","Strunowe Szarpane","Citi Handlowy Przelew","Lutnia",235,740,680
48,9,9,10,2787,48,382,"Tychy","Gdańsk","Klasyczne smyczkowe","PKO BP Blik","Skrzypce",382,900,820
49,13,13,45,8424,45,3,"Poznań","Częstochowa","Regionalne smyczkowe","Alior Bank Blik","Basetla",3,1810,1650
50,37,37,50,7077,36,104,"Chorzów","Płock","Dęte drewniane","Plus Bank Przelew","Kontrafagot",104,1790,1630
51,40,40,26,2100,20,308,"Poznań","Gliwice","Perkusyjne inne","Plus Bank Przelew","Grzechotka",308,2280,2080
52,39,39,46,4658,20,152,"Wrocław","Katowice","Dęte klawiszowe","ING Bank Śląski Blik","Akordeon",152,2130,1940
53,40,40,4,8885,42,192,"Wałbrzych","Gliwice","Uderzane","Gotówka","Fortepian",192,380,350
54,2,2,32,9815,21,321,"Poznań","Wałbrzych","Perkusyjne inne","Banek Pekao Przelew","Grzechotka",321,1820,1660
55,31,31,24,9371,21,10,"Radom","Kalisz","Perkusyjne metalowe","Plus Bank Blik","Czelestra",10,450,410
56,38,38,29,8323,32,276,"Toruń","Toruń","Dęte blaszane","PKO BP Blik","Helikon",276,1160,1060
57,2,2,9,9753,47,196,"Bydgoszcz","Wałbrzych","Dęte drewniane","Santander BP Przelew","Saksofon",196,460,420
58,43,43,2,6418,38,150,"Wrocław","Kraków","Strunowe Szarpane","BOŚ Blik","Mandolina",150,1900,1730
59,37,37,44,8873,26,273,"Włocławek","Płock","Perkusyjne inne","ING Bank Śląski Blik","Pudełka Akustyczne",273,260,240
60,48,48,15,9046,2,119,"Radom","Lublin","Strunowe Szarpane","Citi Handlowy Przelew","Harfa",119,30,30
61,2,2,37,7234,44,19,"Sosnowiec","Wałbrzych","Strunowe Szarpane","Getin Noble Bank Przelew","Kora",19,80,80
62,26,26,26,5136,41,250,"Poznań","Gorzów Wielkopolski","Dęte drewniane","Banek Pekao Przelew","Flet Piccolo",250,930,850
63,47,47,38,4907,23,29,"Bydgoszcz","Włocławek","Dęte klawiszowe","TMUB Przelew","Akordeon",29,1180,1080
64,44,44,47,9663,5,259,"Bydgoszcz","Zielona Góra","Dęte blaszane","Bank Millenium Przelew","Tuba",259,840,770
65,48,48,19,7198,44,256,"Wrocław","Lublin","Dęte blaszane","Alior Bank Blik","Róg (Waltornia)",17,2060,1880
66,10,10,25,7793,22,211,"Lublin","Bydgoszcz","Dęte blaszane","Bank pocztowy Przelew","Kornet",211,510,470
67,46,46,21,7808,23,33,"Bydgoszcz","Kraków","Klasyczne smyczkowe","Banek Pekao Przelew","Altówka",33,2020,1840
68,13,13,36,1033,12,161,"Kalisz","Częstochowa","Perkusyjne sztabkowe drewniane","Citi Handlowy Blik","Ksylofon",141,1590,1450
69,23,23,22,9274,39,369,"Gdańsk","Ruda Śląska","Klasyczne smyczkowe","Bank Millenium Blik","Wiolonczela",369,510,470
70,31,31,26,5709,27,308,"Poznań","Kalisz","Perkusyjne pytowe","Plus Bank Przelew","Gong",308,130,120
71,21,21,47,8233,41,259,"Bydgoszcz","Bytom","Dęte blaszane","Bank Millenium Przelew","Puzon",259,1980,1800
72,4,4,1,9268,7,121,"Ruda Śląska","Tychy","Elektryczne smyczkowe","Bank pocztowy Przelew","Wiolonczela Elektryczna",121,740,680
73,50,50,45,9500,32,137,"Poznań","Rzeszów","Dęte blaszane","Citi Handlowy Blik","Sakshorn",137,2110,1920
74,35,35,22,6197,49,400,"Gdańsk","Katowice","Strunowe Szarpane","Alior Bank Przelew","Harfa",400,1730,1580
75,19,19,23,6878,27,166,"Radom","Poznań","Perkusyjne pytowe","Credit Agricole Blik","Talerze",166,1240,1130
76,10,10,31,9138,42,283,"�?ódź","Bydgoszcz","Klasyczne smyczkowe","Euro Bank Blik","Wiolonczela",283,620,570
77,37,37,3,9123,7,12,"Wałbrzych","Płock","Klasyczne smyczkowe","BOŚ Blik","Skrzypce",12,1120,1020
78,7,7,5,78,3,384,"Toruń","Zabrze","Strunowe Szarpane","mBank Blik","Kobza",381,1400,1280
79,23,23,50,4123,49,189,"Chorzów","Ruda Śląska","Uderzane","TMUB Przelew","Klawikord",189,30,30
80,32,32,47,8780,47,103,"Bydgoszcz","Kalisz","Perkusyjne inne","TMUB Blik","Kastaniety",103,1550,1410
81,38,38,18,570,20,301,"Bydgoszcz","Toruń","Perkusyjne inne","Banek Pekao Blik","Grzechotka",301,190,180
