"ID","NAZWA","MIASTO","NUMER"
1,"Instrusy","Chorzów","374973042"
2,"Instruish","Kraków","204778208"
3,"Instruarc","Katowice","658222055"
4,"Instrupad","Katowice","389278810"
5,"Instruoont","Gdańsk","805534488"
6,"Instrulance","Opole","418220184"
7,"Instruster","Płock","716691954"
8,"Instruooze","Radom","688440192"
9,"Instruzilla","Chorzów","851146535"
10,"Instruhut","Koszalin","765041796"
11,"Instrudeck","Opole","315190223"
12,"Instruopolis","Ruda Śląska","851864024"
13,"Instrulaza","Wrocław","744793455"
14,"Instruscape","Gdynia","740291228"
15,"Instruzoid","Kalisz","279387577"
16,"Instruaza","Zielona Góra","744887218"
17,"Instruoryx","Tychy","623571315"
18,"Instruorama","Dąbrowa Górnicza","866060182"
19,"Instrudo","Lublin","552683096"
20,"Instruya","Olsztyn","963240811"
21,"Instruopedia","Sosnowiec","804788481"
22,"Instruella","Włocławek","111230090"
23,"Instruology","Rybnik","241107297"
24,"Instrubes","Kielce","328682441"
25,"Instrugenix","Gliwice","695246358"
26,"Instrulada","Elbląg","368084865"
27,"Instruporium","Tychy","555072629"
28,"Instruara","Częstochowa","593341101"
29,"Instruomatic","Radom","689205772"
30,"Instruque","Kalisz","330556365"
31,"Instruado","Białystok","606397545"
32,"Instruegy","Radom","407437871"
33,"Instruistic","Warszawa","429550633"
34,"Instruadri","Lublin","687870483"
35,"Instruiva","Wrocław","609639056"
36,"Instruium","Gliwice","488767592"
37,"Instruaholic","Gdynia","503295823"
38,"Instruio","Koszalin","582523548"
39,"Instrulia","Wałbrzych","512453509"
40,"Instrulux","Gdynia","284684355"
41,"Instruly","�?ódź","711948309"
42,"Instrun","Tarnów","760226335"
43,"Instruwind","Bielsko-Biała","457830755"
44,"Instruadora","Zielona Góra","946360943"
45,"Instruable","Zielona Góra","636421760"
46,"Instrujet","�?ódź","274418269"
47,"Instrubea","Bydgoszcz","899381434"
48,"Instruops","Warszawa","794760222"
49,"Instruocity","Bytom","735987522"
50,"Instruprism","Chorzów","198709531"

50 rows selected. 

